Wavelength (nm),Transmitance (%)
498.2,99.177
498.4,99.1769
498.6,99.1735
498.8,99.173
499,99.173
499.2,99.1729
499.4,99.1726
499.6,99.1701
499.8,99.1691
500,99.169
500.2,99.1682
500.4,99.1681
500.6,99.1677
500.8,99.1655
501,99.1653
501.2,99.1638
501.4,99.1625
501.6,99.1621
501.8,99.161
502,99.1609
502.2,99.1558
502.4,99.154
502.6,99.1524
502.8,99.1521
503,99.1506
503.2,99.1489
503.4,99.1487
503.6,99.1447
503.8,99.1425
504,99.1417
504.2,99.141
504.4,99.141
504.6,99.1401
504.8,99.1393
505,99.1388
505.2,99.1387
505.4,99.1385
505.6,99.1351
505.8,99.135
506,99.1342
506.2,99.1325
506.4,99.1287
506.6,99.1278
506.8,99.1275
507,99.1274
507.2,99.1274
507.4,99.1264
507.6,99.1255
507.8,99.1246
508,99.1239
508.2,99.1231
508.4,99.1223
508.6,99.1218
508.8,99.1206
509,99.1196
509.2,99.118
509.4,99.1172
509.6,99.1171
509.8,99.117
510,99.1162
510.2,99.1158
510.4,99.1157
510.6,99.1131
510.8,99.1129
511,99.1107
511.2,99.109
511.4,99.1086
511.6,99.1078
511.8,99.1064
512,99.1041
512.2,99.1038
512.4,99.1014
512.6,99.1007
512.8,99.0997
513,99.0874
513.2,99.0849
513.4,99.068
513.6,99.0666
513.8,99.0638
514,99.057
514.2,99.053
514.4,99.0302
514.6,99.0281
514.8,99.0183
515,99.0182
515.2,99.0121
515.4,99.0068
515.6,99.0013
515.8,99.0009
516,98.9984
516.2,98.9792
516.4,98.9782
516.6,98.9682
516.8,98.9681
517,98.9627
517.2,98.9586
517.4,98.9549
517.6,98.9524
517.8,98.9477
518,98.9476
518.2,98.9382
518.4,98.9252
518.6,98.9219
518.8,98.9163
519,98.9045
519.2,98.9025
519.4,98.9003
519.6,98.8978
519.8,98.8865
520,98.8837
520.2,98.878
520.4,98.8468
520.6,98.8442
520.8,98.8386
521,98.8362
521.2,98.8303
521.4,98.8287
521.6,98.8262
521.8,98.8258
522,98.8235
522.2,98.8209
522.4,98.8194
522.6,98.8184
522.8,98.8168
523,98.8156
523.2,98.8153
523.4,98.8136
523.6,98.808
523.8,98.8029
524,98.8009
524.2,98.796
524.4,98.7932
524.6,98.761
524.8,98.6857
525,98.6171
525.2,98.523
525.4,98.4317
525.6,98.3293
525.8,98.2328
526,98.0984
526.2,97.9767
526.4,97.8558
526.6,97.7023
526.8,97.5412
527,97.3596
527.2,97.1487
527.4,96.9449
527.6,96.7417
527.8,96.5108
528,96.2316
528.2,95.9621
528.4,95.664
528.6,95.362
528.8,95.0233
529,94.6672
529.2,94.2697
529.4,93.8678
529.6,93.4086
529.8,92.9611
530,92.4799
530.2,91.9563
530.4,91.4402
530.6,90.8544
530.8,90.2738
531,89.6578
531.2,89.0271
531.4,88.3635
531.6,87.6929
531.8,86.9834
532,86.2561
532.2,85.4959
532.4,84.7491
532.6,83.968
532.8,83.1722
533,82.3705
533.2,81.5367
